brand,text
Honda,"Hondas are generally affordable, reliable, and fuel-efficient, with intuitive controls and good driving characteristics. Its SUVs and sedans are usually near the top of Consumer Reports’ ratings for road tests and predicted reliability. Many Hondas have earned Consumer Reports recommendations. Used Hondas also score near the top of our reliability rankings for 5- and 10-year-old vehicles, making it a brand worth considering for options under $20,000. Honda’s SUVs include sub-compact models like the HR-V and compact CR-V, one of the best-selling SUVs in North America. The two-row Passport and three-row Pilot are larger options. Honda’s sedans include the compact Civic and the midsized Accord. Honda also makes the Odyssey minivan and the Ridgeline, a midsized pickup truck. For buyers seeking fuel efficiency, several of the most popular models are available with hybrid powertrains that get competitive mpg figures and are pleasant to drive."
Toyota,"Toyota mostly fulfills its reputation for building efficient and exceptionally reliable vehicles. Most of their models do well in our testing, thanks to their impressive fuel economy, comfortable rides, quiet cabins, and ease of getting in and out. All of this makes Toyotas among the best options for used vehicles. The brand was a hybrid pioneer, starting with the original Prius. Toyota has evolved and expanded that technology, and most vehicles in its lineup are available as a hybrid. Toyota also sells a number of plug-in hybrids, which were once called Prime but are now simply referred to as Plug-in. The company also knows how to add a dose of excitement into its lineup. The GR86, GR Corolla, and Supra are legit, fun-to-drive sports cars. However, some models we’ve tested have been disappointing. The company’s EV, the bZ4X SUV, is mediocre."
Subaru,"Subaru is known for no-nonsense SUVs with standard full-time all-wheel drive. Its cars frequently rank near the top of Consumer Reports’ Owner Satisfaction and reliability ratings, making some used Subarus a good choice. Along with all-wheel drive, Subarus are known for using a “boxer” style four-cylinder engine with opposing pistons that move horizontally. The design reduces vibration and gives the vehicle a low center of gravity. No Subaru would be considered luxurious, but most have options like heated seats and leather upholstery. Unfortunately, blind spot warning (BSW) and rear cross traffic warning (RCTW) are often optional, so buyers must pay extra for important safety features. Subaru hasn’t offered a hybrid since the plug-in hybrid Crosstrek was discontinued in 2024. The Solterra, a pure EV based on the Toyota bZ4x, charges slowly and has short range. Popular sports cars like the WRX and BR-Z show the brand’s wilder side."
Jeep,"The Jeep Wrangler has poor fuel economy, wind noise, an uncomfortable interior, and reliability scores near the bottom of Consumer Reports’ rankings. Despite those results, the Wrangler has been popular for decades. Next to endless options of aerodynamic compact SUVs, its boxy, military-inspired design makes it timeless and charming. It’s also especially capable off-road, and is available as a pickup truck. The Wrangler’s rugged appeal benefits the rest of Jeep’s lineup of small, medium, and large SUVs. The Cherokee and Wagoneer, despite their name’s historical appeal, usually score low on Consumer Reports’ customer satisfaction surveys. However, shoppers drawn to the Jeep name who are comfortable with sacrificing handling and fuel economy for three-row capacity can consider the Wagoneer and Grand Wagoneer. Low reliability scores across the brand make it difficult to recommend buying a used Jeep."
BMW,"BMW’s sedans and SUVs regularly earn CR’s recommendations for packing industry-leading comfort and technology into vehicles that are agile, quick, and even fuel efficient. Among luxury brands like Lexus, Mercedes-Benz, Lincoln, and Land Rover, BMW’s SUVs often rank near the top of their category. Models like the X5 are remarkable for having powertrains that accelerate quickly while also managing above-average fuel efficiency. Some BMWs can be bought as plug-in hybrids, with useful electric-only range, or in performance trims, with more powerful engines and stiffer suspensions. BMW’s growing roster of EVs also generally rank high in our tests. Like most luxury cars from European manufacturers, BMWs fall on the expensive side of our assessments of maintenance and repair costs, but some specific models are a good option to buy used. However, shoppers considering a preowned BMW should opt for warranties or budget for repairs."
Mazda,"Most Mazdas are affordable, fun to drive, and look good inside and out. Many of its crossovers, SUVs, and sedans have earned Consumer Reports’ recommendations and above-average reliability ratings. Used Mazdas are usually a good option for an affordable pre-owned car. Mazda’s two- and three-row SUVs, identified by CX in the name, are consistently near the top of our ratings. Some Mazdas are available as plug-in hybrids that are capable of useful amounts of electric-only driving range. Most Mazdas achieve solid, but not exceptional fuel economy. Though sports cars are less popular now than decades before, Mazda still sells the MX-5 Miata, one of the best of the few remaining enthusiast cars."
Tesla,"Tesla’s EVs balance range, performance, and price in ways that older, established manufacturers can rarely beat. Models range from affordable sedans up to an SUVs and a pickup truck that can be optioned to cost over $100,000. One major advantage that Teslas have over other EVs is the company’s Supercharger network of charging stations. Unlike most public EV chargers, which can require brand-specific apps and accounts, in a Tesla, charging is comparatively seamless. Its software updates can provide meaningful upgrades. After a poor result in our braking test, an update reduced our Model 3’s 60-to-0 braking distance from 152 feet to 133 feet. Brand-wide issues include unintuitive controls that rely on touchscreens, average or below-average reliability, and build quality that is below what Consumer Reports finds in similarly priced EVs. Those factors can make purchasing a used Tesla a gamble."
Dodge,"Until recently, Dodge was known for building outrageous high-performance muscle cars, including the Challenger and Charger, with brashly named trims—Hellcat, anyone? Dodge is still finding its footing during the transition to electrification and stricter emissions laws, with plans for electrified and turbocharged muscle yet to materialize in dealerships. The Hornet compact SUV is based on the Alfa Romeo Tonale, and is available as a plug-in hybrid. The Durango SUV soldiers on, largely unchanged from 2011 and still based on the same design as the 2011-2022 Jeep Grand Cherokee. Most alarmingly, it lags behind more modern vehicles in crash tests. Dodge sits near Chrysler at the bottom of our used car reliability rankings."
Ford,"Among Ford’s SUVs and pickups, the smallest options usually earn our highest ratings. Consumer Reports has recommended the Mustang Mach-E EV, the thrilling Mustang coupe and convertible, and the Maverick, a small pickup truck available with a hybrid powertrain. Most other vehicles, however, score low in our road tests and have average to below average reliability. With some exceptions, used Fords can be a risk. The Ford F-150 pickup combines true truck capabilities with quiet, roomy cabins, making it one of the best-selling vehicles in the U.S. However, our tests found that recent F-150s have a stiff ride, unresponsive handling, and below average reliability. The Lightning, an EV version of the F-150, drives better and is faster than its gasoline equivalent. The Bronco SUVs has exceptional off-road ability and classic boxy styling, but suffers from issues like wind noise and long stopping distances."
Chevrolet,"Chevrolet sells a wide range of sedans, coupes, compact SUVs, large SUVs, EVs, and pickup trucks. Most models have roomy interiors and come with standard safety and convenience technology. Several models, however, have poor visibility and lack steering agility. Many Chevrolets rank average or below average for reliability in CR’s rankings. The brand stands out for selling historically significant and category-defining vehicles. The Suburban and Tahoe can keep three rows of passengers comfortable within their enormous cabins. The Silverado pickup truck competes with the best-selling Ford F-150 and Ram 1500 by balancing interior comfort with towing and cargo capability. In the past and today, the Camaro and Corvette are performance car bargains. The rear/mid-engined “C8” Corvette can be as thrilling as much more expensive European supercars. With some exceptions, used Chevrolets can have reliability issues, but are often less expensive to maintain and repair than competitors."
